"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts & Stories","Impressions","Reach","Engagements","Likes","Comments","Saves","Story Replies","Profile Actions","Engagement Rate (per Impression)"
"10-06-2021","ucberkeleysummer","1,463","3","4","1","112","0","0","7","1","0","0","0","0","0","0","0%"
"10-06-2021","ucbstudyabroad","2,397","1","5","4","224","0","1","337","253","4","4","0","0","0","1","1.19%"
"10-07-2021","ucberkeleysummer","1,464","1","1","0","112","0","0","0","0","0","0","0","0","0","0",""
"10-07-2021","ucbstudyabroad","2,415","18","21","3","224","0","1","832","571","12","12","0","0","0","7","1.44%"
"10-08-2021","ucberkeleysummer","1,464","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"10-08-2021","ucbstudyabroad","2,416","1","1","0","224","0","0","168","85","104","82","0","22","0","0","61.9%"
"10-09-2021","ucberkeleysummer","1,464","0","0","0","112","0","0","3","1","0","0","0","0","0","0","0%"
"10-09-2021","ucbstudyabroad","2,416","0","3","3","224","0","0","49","39","13","6","0","7","0","1","26.53%"
"10-10-2021","ucberkeleysummer","1,464","0","2","2","112","0","0","21","1","0","0","0","0","0","0","0%"
"10-10-2021","ucbstudyabroad","2,416","0","0","0","224","0","0","9","9","0","0","0","0","0","0","0%"
"10-11-2021","ucberkeleysummer","1,464","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"10-11-2021","ucbstudyabroad","2,417","1","3","2","224","0","0","55","16","1","0","0","1","0","0","1.82%"
"10-12-2021","ucberkeleysummer","1,466","2","4","2","112","0","0","14","1","0","0","0","0","0","0","0%"
"10-12-2021","ucbstudyabroad","2,416","-1","1","2","224","0","1","623","459","1","0","0","1","0","0","0.16%"
"10-13-2021","ucberkeleysummer","1,466","0","0","0","112","0","1","153","133","2","2","0","0","0","0","1.31%"
"10-13-2021","ucbstudyabroad","2,421","5","6","1","223","-1","1","834","547","116","110","1","5","0","13","13.91%"
"10-14-2021","ucberkeleysummer","1,466","0","3","3","112","0","0","68","39","3","3","0","0","0","2","4.41%"
"10-14-2021","ucbstudyabroad","2,426","5","7","2","223","0","0","237","146","34","24","0","10","0","7","14.35%"
"10-15-2021","ucberkeleysummer","1,467","1","1","0","112","0","0","13","13","3","3","0","0","0","0","23.08%"
"10-15-2021","ucbstudyabroad","2,426","0","2","2","223","0","3","1,400","686","91","82","4","5","0","5","6.5%"
"10-16-2021","ucberkeleysummer","1,468","1","1","0","112","0","0","6","2","0","0","0","0","0","0","0%"
"10-16-2021","ucbstudyabroad","2,427","1","1","0","223","0","1","755","484","68","66","1","1","0","1","9.01%"
"10-17-2021","ucberkeleysummer","1,468","0","0","0","111","-1","0","1","1","0","0","0","0","0","0","0%"
"10-17-2021","ucbstudyabroad","2,429","2","3","1","223","0","1","856","551","17","17","0","0","0","16","1.99%"
"10-18-2021","ucberkeleysummer","1,466","-2","3","5","111","0","0","2","1","0","0","0","0","0","1","0%"
"10-18-2021","ucbstudyabroad","2,443","14","17","3","223","0","3","1,675","667","97","73","0","24","0","67","5.79%"
"10-19-2021","ucberkeleysummer","1,468","2","3","1","111","0","0","6","1","0","0","0","0","0","0","0%"
"10-19-2021","ucbstudyabroad","2,447","4","4","0","223","0","5","2,238","1,078","99","75","7","16","1","23","4.42%"
"10-20-2021","ucberkeleysummer","1,470","2","4","2","111","0","0","0","0","0","0","0","0","0","0",""
"10-20-2021","ucbstudyabroad","2,449","2","3","1","223","0","0","611","230","50","45","1","4","0","15","8.18%"
"10-21-2021","ucberkeleysummer","1,472","2","2","0","111","0","0","15","2","0","0","0","0","0","0","0%"
"10-21-2021","ucbstudyabroad","2,452","3","5","2","224","1","5","1,695","563","85","75","1","7","2","27","5.01%"
"10-22-2021","ucberkeleysummer","1,472","0","0","0","111","0","0","1","1","0","0","0","0","0","0","0%"
"10-22-2021","ucbstudyabroad","2,453","1","2","1","224","0","0","357","179","32","31","0","1","0","0","8.96%"
"10-23-2021","ucberkeleysummer","1,472","0","2","2","111","0","0","0","0","0","0","0","0","0","0",""
"10-23-2021","ucbstudyabroad","2,454","1","2","1","224","0","0","111","87","4","3","0","1","0","1","3.6%"
"10-24-2021","ucberkeleysummer","1,472","0","1","1","111","0","0","0","0","0","0","0","0","0","0",""
"10-24-2021","ucbstudyabroad","2,454","0","1","1","223","-1","0","30","22","1","1","0","0","0","0","3.33%"
"10-25-2021","ucberkeleysummer","1,472","0","2","2","111","0","0","26","2","0","0","0","0","0","0","0%"
"10-25-2021","ucbstudyabroad","2,455","1","1","0","223","0","1","375","315","25","25","0","0","0","1","6.67%"
"10-26-2021","ucberkeleysummer","1,472","0","0","0","111","0","0","5","2","0","0","0","0","0","0","0%"
"10-26-2021","ucbstudyabroad","2,460","5","5","0","223","0","0","1,581","1,360","5","5","0","0","0","5","0.32%"
